timestep,vehicle_id,vehicle_type,charging_station,battery_soc_percent
978.0,evan_03,eVan,ebus_depot_n3,67.10725714285715
979.0,evan_03,eVan,ebus_depot_n3,67.22622857142856
980.0,evan_03,eVan,ebus_depot_n3,67.34517142857143
981.0,evan_03,eVan,ebus_depot_n3,67.46414285714286
982.0,evan_03,eVan,ebus_depot_n3,67.58311428571429
983.0,evan_03,eVan,ebus_depot_n3,67.70208571428572
984.0,evan_03,eVan,ebus_depot_n3,67.82105714285714
985.0,evan_03,eVan,ebus_depot_n3,67.94002857142857
986.0,evan_03,eVan,ebus_depot_n3,68.05897142857143
987.0,evan_03,eVan,ebus_depot_n3,68.17794285714285
988.0,evan_03,eVan,ebus_depot_n3,68.29691428571428
989.0,evan_03,eVan,ebus_depot_n3,68.41588571428572
990.0,evan_03,eVan,ebus_depot_n3,68.53485714285713
991.0,evan_03,eVan,ebus_depot_n3,68.65382857142858
992.0,evan_03,eVan,ebus_depot_n3,68.77277142857143
993.0,evan_03,eVan,ebus_depot_n3,68.89174285714286
994.0,evan_03,eVan,ebus_depot_n3,69.01071428571429
995.0,evan_03,eVan,ebus_depot_n3,69.12968571428571
996.0,evan_03,eVan,ebus_depot_n3,69.24865714285714
997.0,evan_03,eVan,ebus_depot_n3,69.36762857142857
998.0,evan_03,eVan,ebus_depot_n3,69.48657142857144
999.0,evan_03,eVan,ebus_depot_n3,69.60554285714285
1000.0,evan_03,eVan,ebus_depot_n3,69.72451428571429
1001.0,evan_03,eVan,ebus_depot_n3,69.84348571428572
1002.0,evan_03,eVan,ebus_depot_n3,69.96245714285715
1003.0,evan_03,eVan,ebus_depot_n3,70.08142857142857
1004.0,evan_03,eVan,ebus_depot_n3,70.20037142857143
1005.0,evan_03,eVan,ebus_depot_n3,70.31934285714286
1006.0,evan_03,eVan,ebus_depot_n3,70.43831428571428
1007.0,evan_03,eVan,ebus_depot_n3,70.55728571428571
1008.0,evan_03,eVan,ebus_depot_n3,70.67625714285714
1009.0,evan_03,eVan,ebus_depot_n3,70.79522857142858
1010.0,evan_03,eVan,ebus_depot_n3,70.91417142857142
1011.0,evan_03,eVan,ebus_depot_n3,71.03314285714285
1012.0,evan_03,eVan,ebus_depot_n3,71.15211428571429
1013.0,evan_03,eVan,ebus_depot_n3,71.27108571428572
1014.0,evan_03,eVan,ebus_depot_n3,71.39005714285715
1015.0,evan_03,eVan,ebus_depot_n3,71.50902857142857
1016.0,evan_03,eVan,ebus_depot_n3,71.62797142857144
1017.0,evan_03,eVan,ebus_depot_n3,71.74694285714286
1018.0,evan_03,eVan,ebus_depot_n3,71.86591428571428
1019.0,evan_03,eVan,ebus_depot_n3,71.98488571428571
1020.0,evan_03,eVan,ebus_depot_n3,72.10385714285714
1021.0,evan_03,eVan,ebus_depot_n3,72.22282857142858
1022.0,evan_03,eVan,ebus_depot_n3,72.34177142857142
1023.0,evan_03,eVan,ebus_depot_n3,72.46074285714286
1024.0,evan_03,eVan,ebus_depot_n3,72.57971428571429
1025.0,evan_03,eVan,ebus_depot_n3,72.69868571428572
1026.0,evan_03,eVan,ebus_depot_n3,72.81765714285714
1027.0,evan_03,eVan,ebus_depot_n3,72.93662857142857
1028.0,evan_03,eVan,ebus_depot_n3,73.05557142857143
1029.0,evan_03,eVan,ebus_depot_n3,73.17454285714285
1030.0,evan_03,eVan,ebus_depot_n3,73.2935142857143
1031.0,evan_03,eVan,ebus_depot_n3,73.41248571428571
1032.0,evan_03,eVan,ebus_depot_n3,73.53145714285714
1033.0,evan_03,eVan,ebus_depot_n3,73.65042857142858
1034.0,evan_03,eVan,ebus_depot_n3,73.76937142857143
1035.0,evan_03,eVan,ebus_depot_n3,73.88834285714285
1036.0,evan_03,eVan,ebus_depot_n3,74.00731428571429
1037.0,evan_03,eVan,ebus_depot_n3,74.12628571428571
1038.0,evan_03,eVan,ebus_depot_n3,74.24525714285714
1039.0,evan_03,eVan,ebus_depot_n3,74.36422857142857
1040.0,evan_03,eVan,ebus_depot_n3,74.48317142857142
1041.0,evan_03,eVan,ebus_depot_n3,74.60214285714287
1042.0,evan_03,eVan,ebus_depot_n3,74.72111428571428
1043.0,evan_03,eVan,ebus_depot_n3,74.8400857142857
1044.0,evan_03,eVan,ebus_depot_n3,74.95905714285713
1045.0,evan_03,eVan,ebus_depot_n3,75.07802857142858
1046.0,evan_03,eVan,ebus_depot_n3,75.19697142857143
1047.0,evan_03,eVan,ebus_depot_n3,75.31594285714286
1048.0,evan_03,eVan,ebus_depot_n3,75.4349142857143
1049.0,evan_03,eVan,ebus_depot_n3,75.55388571428571
1050.0,evan_03,eVan,ebus_depot_n3,75.67285714285714
1051.0,evan_03,eVan,ebus_depot_n3,75.79182857142857
1052.0,evan_03,eVan,ebus_depot_n3,75.91077142857144
1053.0,evan_03,eVan,ebus_depot_n3,76.02974285714285
1054.0,evan_03,eVan,ebus_depot_n3,76.14871428571428
1055.0,evan_03,eVan,ebus_depot_n3,76.26768571428572
1056.0,evan_03,eVan,ebus_depot_n3,76.38665714285715
1057.0,evan_03,eVan,ebus_depot_n3,76.50562857142857
1058.0,evan_03,eVan,ebus_depot_n3,76.62457142857141
1059.0,evan_03,eVan,ebus_depot_n3,76.74354285714287
1060.0,evan_03,eVan,ebus_depot_n3,76.86251428571428
1061.0,evan_03,eVan,ebus_depot_n3,76.98148571428571
1062.0,evan_03,eVan,ebus_depot_n3,77.10045714285714
1063.0,evan_03,eVan,ebus_depot_n3,77.21942857142857
1064.0,evan_03,eVan,ebus_depot_n3,77.33837142857143
1065.0,evan_03,eVan,ebus_depot_n3,77.45734285714285
1066.0,evan_03,eVan,ebus_depot_n3,77.57631428571429
