timestep_sec,vehicle_id,current_edge,current_lane,current_speed_ms,current_soc_percent,battery_capacity_wh,priority,nearest_station_id,nearest_station_name,nearest_distance_m,nearest_edge,nearest_lane,nearest_power_kw,nearest_charging_available,nearest_waiting_available,nearest_occupancy_rate,2nd_nearest_station_id,2nd_nearest_station_name,2nd_nearest_distance_m,2nd_nearest_edge,2nd_nearest_lane,2nd_nearest_power_kw,2nd_nearest_charging_available,2nd_nearest_waiting_available,2nd_nearest_occupancy_rate,recommended_station,recommendation_reason
576.0,easyBike_018,E1,E1_0,12.5,22.55,12000.0,HIGH,pa_3_rev,Station pa_3_rev,86.51,NEG_E1,NEG_E1_0,20.0,0,0,100.0,pa_2,Station pa_2,103.77,E0,E0_0,20.0,0,1,100.0,Station pa_3_rev,Nearest (all busy)
576.0,easyBike_030,NEG_E6,NEG_E6_0,0.0,13.32,12000.0,CRITICAL,pa_7_rev,Station pa_7_rev,40.45,NEG_E6,NEG_E6_0,20.0,0,0,100.0,pa_6,Station pa_6,42.58,E5,E5_0,25.0,0,3,100.0,Station pa_7_rev,Nearest (all busy)
576.0,eRickshaw_026,E9,E9_1,10.53,33.44,7200.0,MEDIUM,pa_3,Station pa_3,33.88,E1,E1_0,20.0,0,0,100.0,pa_8,Station pa_8,373.46,E7,E7_0,25.0,4,3,20.0,Station pa_8,2nd nearest has slots (nearest full)
576.0,eRickshaw_032,NEG_E8,NEG_E8_0,13.62,33.4,7200.0,MEDIUM,pa_8,Station pa_8,118.54,E7,E7_0,25.0,4,3,20.0,pa_3,Station pa_3,410.58,E1,E1_0,20.0,0,0,100.0,Station pa_8,Nearest with charging slots
576.0,eVan_030,NEG_E9,NEG_E9_1,11.64,45.55,5760.0,MEDIUM,pa_8,Station pa_8,65.71,E7,E7_0,25.0,4,3,20.0,pa_3,Station pa_3,340.05,E1,E1_0,20.0,0,0,100.0,Station pa_8,Nearest with charging slots
577.0,easyBike_022,NEG_E7,parked,0.0,28.51,12000.0,HIGH,pa_8_rev,Station pa_8_rev,9.04,NEG_E7,NEG_E7_0,25.0,0,0,100.0,pa_7,Station pa_7,33.33,E6,E6_0,20.0,4,2,0.0,Station pa_7,2nd nearest has slots (nearest full)
578.0,easyBike_014,NEG_E6,parked,0.0,26.84,12000.0,HIGH,pa_7_rev,Station pa_7_rev,15.38,NEG_E6,NEG_E6_0,20.0,0,0,100.0,pa_6,Station pa_6,20.68,E5,E5_0,25.0,0,3,100.0,Station pa_7_rev,Nearest (all busy)
578.0,easyBike_015,NEG_E6,parked,0.0,25.69,12000.0,HIGH,pa_7_rev,Station pa_7_rev,20.32,NEG_E6,NEG_E6_0,20.0,0,0,100.0,pa_6,Station pa_6,24.76,E5,E5_0,25.0,0,3,100.0,Station pa_7_rev,Nearest (all busy)
578.0,easyBike_016,NEG_E0,NEG_E0_0,12.37,24.19,12000.0,HIGH,pa_2,Station pa_2,67.93,E0,E0_0,20.0,1,3,75.0,pa_3_rev,Station pa_3_rev,87.3,NEG_E1,NEG_E1_0,20.0,0,0,100.0,Station pa_2,Nearest with charging slots
578.0,easyBike_020,E1,parked,0.0,25.23,12000.0,HIGH,pa_3,Station pa_3,60.44,E1,E1_0,20.0,0,0,100.0,pa_3_rev,Station pa_3_rev,395.37,NEG_E1,NEG_E1_0,20.0,0,0,100.0,Station pa_3,Nearest (all busy)
578.0,easyBike_025,E1,E1_0,0.0,17.3,12000.0,CRITICAL,pa_3,Station pa_3,74.37,E1,E1_0,20.0,0,0,100.0,pa_3_rev,Station pa_3_rev,381.26,NEG_E1,NEG_E1_0,20.0,0,0,100.0,Station pa_3,Nearest (all busy)
579.0,easyBike_020,E10,E10_0,12.63,25.37,12000.0,HIGH,pa_3_rev,Station pa_3_rev,62.61,NEG_E1,NEG_E1_0,20.0,0,0,100.0,pa_2,Station pa_2,74.57,E0,E0_0,20.0,1,3,75.0,Station pa_2,2nd nearest has slots (nearest full)
580.0,easyBike_016,NEG_E6,parked,0.0,24.51,12000.0,HIGH,pa_7_rev,Station pa_7_rev,25.28,NEG_E6,NEG_E6_0,20.0,0,0,100.0,pa_6,Station pa_6,29.14,E5,E5_0,25.0,0,3,100.0,Station pa_7_rev,Nearest (all busy)
581.0,easyBike_018,E8,E8_0,11.54,21.77,12000.0,HIGH,pa_8,Station pa_8,81.96,E7,E7_0,25.0,4,3,20.0,pa_3,Station pa_3,399.14,E1,E1_0,20.0,0,0,100.0,Station pa_8,Nearest with charging slots
581.0,easyBike_029,NEG_E3,NEG_E3_0,13.48,12.56,12000.0,CRITICAL,pa_3,Station pa_3,215.94,E1,E1_0,20.0,0,0,100.0,pa_8,Station pa_8,298.74,E7,E7_0,25.0,4,3,20.0,Station pa_8,2nd nearest has slots (nearest full)
