timestep_sec,station_id,station_edge,station_capacity,vehicles_charging,vehicle_ids,charging_times_sec,total_power_load_kW,utilization_percent,available_slots
516.0,pa_6_rev,NEG_E5,5,3,"easyBike_forward4.2,easyBike_reverse3.4,eRickshaw_reverse3.2","77.0,39.0,29.0",75.0,60.0,2
516.0,pa_7_rev,NEG_E6,4,2,"easyBike_reverse3.3,eRickshaw_reverse1.1","124.0,27.0",40.0,50.0,2
516.0,pa_8_rev,NEG_E7,5,5,"easyBike_forward2.2,eRickshaw_forward2.0,easyBike_forward1.3,easyBike_forward1.2,eRickshaw_forward1.0","189.0,164.0,148.0,81.0,24.0",125.0,100.0,0
517.0,pa_2,E0,4,1,easyBike_forward1.4,103.0,20.0,25.0,3
517.0,pa_3,E1,4,4,"easyBike_forward1.5,eRickshaw_reverse4.1,easyBike_forward2.5,easyBike_forward1.6","60.0,13.0,11.0,9.0",80.0,100.0,0
517.0,pa_6,E5,5,2,"eRickshaw_forward4.0,eRickshaw_reverse1.0","164.0,19.0",50.0,40.0,3
517.0,pa_7,E6,4,2,"easyBike_reverse2.3,easyBike_forward3.2","117.0,106.0",40.0,50.0,2
517.0,pa_8,E7,5,1,easyBike_forward4.1,120.0,25.0,20.0,4
517.0,pa_2_rev,NEG_E0,4,3,"easyBike_reverse4.1,easyBike_reverse2.2,eRickshaw_reverse1.3","219.0,205.0,7.0",60.0,75.0,1
517.0,pa_3_rev,NEG_E1,4,2,"easyBike_reverse2.1,eRickshaw_forward3.1","207.0,73.0",40.0,50.0,2
517.0,pa_6_rev,NEG_E5,5,3,"easyBike_forward4.2,easyBike_reverse3.4,eRickshaw_reverse3.2","78.0,40.0,30.0",75.0,60.0,2
517.0,pa_7_rev,NEG_E6,4,2,"easyBike_reverse3.3,eRickshaw_reverse1.1","125.0,28.0",40.0,50.0,2
517.0,pa_8_rev,NEG_E7,5,5,"easyBike_forward2.2,eRickshaw_forward2.0,easyBike_forward1.3,easyBike_forward1.2,eRickshaw_forward1.0","190.0,165.0,149.0,82.0,25.0",125.0,100.0,0
518.0,pa_2,E0,4,1,easyBike_forward1.4,104.0,20.0,25.0,3
518.0,pa_3,E1,4,4,"easyBike_forward1.5,eRickshaw_reverse4.1,easyBike_forward2.5,easyBike_forward1.6","61.0,14.0,12.0,10.0",80.0,100.0,0
518.0,pa_6,E5,5,2,"eRickshaw_forward4.0,eRickshaw_reverse1.0","165.0,20.0",50.0,40.0,3
518.0,pa_7,E6,4,2,"easyBike_reverse2.3,easyBike_forward3.2","118.0,107.0",40.0,50.0,2
